0;Miasto;Powiat;Województwo;Populacja;Obszar
406;Lubawa;i³awski;warmiñsko-mazurskie;10 093;17 km?
407;Nowy Dwór Gdañski;nowodworski;pomorskie;10 083;5,1 km?
408;Czersk;chojnicki;pomorskie;10 043;9,7 km?
409;Ryki;rycki;lubelskie;9 955;27,2 km?
410;Skwierzyna;miêdzyrzecki;lubuskie;9 869;35,9 km?
411;Blachownia;czêstochowski;œl¹skie;9 839;36,7 km?
412;Puszczykowo;poznañski;wielkopolskie;9 819;16 km?
413;Ko¿uchów;nowosolski;lubuskie;9 752;5,9 km?
414;Czarna Bia³ostocka;bia³ostocki;podlaskie;9 671;14,3 km?
415;Poniatowa;opolski;lubelskie;9 646;15,3 km?
416;Pieszyce;dzier¿oniowski;dolnoœl¹skie;9 626;64 km?
417;Olesno;oleski;opolskie;9 597;15,1 km?
418;Opalenica;nowotomyski;wielkopolskie;9 591;6,4 km?
419;Szubin;nakielski;kujawsko-pomorskie;9 580;7,7 km?
420;Wysokie Mazowieckie;wysokomazowiecki;podlaskie;9 503;15 km?
421;Kostrzyn;poznañski;wielkopolskie;9 492;8 km?
422;Sucha Beskidzka;suski;ma³opolskie;9 485;28 km?
423;Ustrzyki Dolne;bieszczadzki;podkarpackie;9 445;16,8 km?
424;Sêpólno Krajeñskie;sêpoleñski;kujawsko-pomorskie;9 368;6,6 km?
425;Kolbuszowa;kolbuszowski;podkarpackie;9 329;7,9 km?
426;Œroda Œl¹ska;œredzki;dolnoœl¹skie;9 317;14,9 km?
427;Lwówek Œl¹ski;lwówecki;dolnoœl¹skie;9 271;16,7 km?
428;Ozimek;opolski;opolskie;9 218;3,3 km?
429;Che³mek;oœwiêcimski;ma³opolskie;9 168;8,3 km?
430;Kruszwica;inowroc³awski;kujawsko-pomorskie;9 128;6,6 km?
431;Ziêbice;z¹bkowicki;dolnoœl¹skie;9 117;15,1 km?
432;Stary S¹cz;nowos¹decki;ma³opolskie;9 107;15 km?
433;Wojkowice;bêdziñski;œl¹skie;9 107;13 km?
434;Janikowo;inowroc³awski;kujawsko-pomorskie;9 079;9,5 km?
435;Kamieñ Pomorski;kamieñski;zachodniopomorskie;9 070;10,7 km?
436;Orneta;lidzbarski;warmiñsko-mazurskie;9 046;9,6 km?
437;Pobiedziska;poznañski;wielkopolskie;9 043;10,2 km?
438;Oborniki Œl¹skie;trzebnicki;dolnoœl¹skie;9 038;14,5 km?
439;¯uromin;¿uromiñski;mazowieckie;9 022;11,2 km?
440;Strzy¿ów;strzy¿owski;podkarpackie;8 967;13,9 km?
441;Wolbrom;olkuski;ma³opolskie;8 874;10,1 km?
442;Grodków;brzeski;opolskie;8 871;9,9 km?
443;Opole Lubelskie;opolski;lubelskie;8 860;15,1 km?
444;Prabuty;kwidzyñski;pomorskie;8 802;7,3 km?
445;Porêba;zawierciañski;œl¹skie;8 801;40 km?
446;Wieruszów;wieruszowski;³ódzkie;8 723;6 km?
447;Suchedniów;skar¿yski;œwiêtokrzyskie;8 714;59,4 km?
448;Jastrowie;z³otowski;wielkopolskie;8 664;72,3 km?
449;Imielin;bieruñsko-lêdziñski;œl¹skie;8 621;28 km?
450;Kalety;tarnogórski;œl¹skie;8 607;76 km?
451;¯ychlin;kutnowski;³ódzkie;8 576;8,7 km?
452;Po³czyn-Zdrój;œwidwiñski;zachodniopomorskie;8 444;7,2 km?
453;Po³aniec;staszowski;œwiêtokrzyskie;8 347;17,4 km?
454;Pelplin;tczewski;pomorskie;8 254;4,4 km?
455;Chocianów;polkowicki;dolnoœl¹skie;8 194;9 km?
456;Lidzbark;dzia³dowski;warmiñsko-mazurskie;8 168;5,7 km?
457;Zwoleñ;zwoleñski;mazowieckie;8 112;15,9 km?
458;Witkowo;gnieŸnieñski;wielkopolskie;8 014;8,3 km?
459;T³uszcz;wo³omiñski;mazowieckie;7 989;7,9 km?
460;Pniewy;szamotulski;wielkopolskie;7 953;9,3 km?
461;Praszka;oleski;opolskie;7 944;9,4 km?
462;Paczków;nyski;opolskie;7 865;6,6 km?
463;Mszana Dolna;limanowski;ma³opolskie;7 863;27 km?
464;Trzemeszno;gnieŸnieñski;wielkopolskie;7 843;5,5 km?
465;Zelów;be³chatowski;³ódzkie;7 833;10,8 km?
466;Poddêbice;poddêbicki;³ódzkie;7 780;5,9 km?
467;Barcin;¿niñski;kujawsko-pomorskie;7 752;3,7 km?
468;Olsztynek;olsztyñski;warmiñsko-mazurskie;7 721;7,7 km?
469;Nasielsk;nowodworski;mazowieckie;7 650;12,6 km?
470;Zawadzkie;strzelecki;opolskie;7 605;16,5 km?
471;Brzozów;brzozowski;podkarpackie;7 550;11,5 km?
472;Kórnik;poznañski;wielkopolskie;7 530;6 km?
473;Sêdziszów Ma³opolski;ropczycko-sêdziszowski;podkarpackie;7 492;10 km?
474;Miasteczko Œl¹skie;tarnogórski;œl¹skie;7 463;68 km?
475;Tuszyn;³ódzki wschodni;³ódzkie;7 319;23,3 km?
476;Chojna;gryfiñski;zachodniopomorskie;7 303;12,1 km?
477;Gniewkowo;inowroc³awski;kujawsko-pomorskie;7 293;9,2 km?
478;Barczewo;olsztyñski;warmiñsko-mazurskie;7 265;4,6 km?
479;Zb¹szyñ;nowotomyski;wielkopolskie;7 202;5,4 km?
480;Czaplinek;drawski;zachodniopomorskie;7 188;13,6 km?
481;Bia³obrzegi;bia³obrzeski;mazowieckie;7 132;7,5 km?
482;S³awków;bêdziñski;œl¹skie;7 129;37 km?
483;£osice;³osicki;mazowieckie;7 099;23,7 km?
484;Skarszewy;starogardzki;pomorskie;7 082;10,8 km?
485;£azy;zawierciañski;œl¹skie;7 047;8,6 km?
486;Sobótka;wroc³awski;dolnoœl¹skie;6 991;32,2 km?
487;Witnica;gorzowski;lubuskie;6 951;8,2 km?
488;Gryfów Œl¹ski;lwówecki;dolnoœl¹skie;6 902;6,6 km?
489;¯arów;œwidnicki;dolnoœl¹skie;6 880;7 km?
490;Gniew;tczewski;pomorskie;6 868;6 km?
491;Szklarska Porêba;jeleniogórski;dolnoœl¹skie;6 864;75 km?
492;Rudnik nad Sanem;ni¿añski;podkarpackie;6 858;36,6 km?
493;Pajêczno;pajêczañski;³ódzkie;6 811;20,2 km?
494;£ochów;wêgrowski;mazowieckie;6 786;13,4 km?
495;Opatów;opatowski;œwiêtokrzyskie;6 767;9,4 km?
496;Be³¿yce;lubelski;lubelskie;6 765;23,5 km?
497;Twardogóra;oleœnicki;dolnoœl¹skie;6 762;8,3 km?
498;K³odawa;kolski;wielkopolskie;6 721;4,3 km?
499;Tuchów;tarnowski;ma³opolskie;6 720;18,1 km?
500;Sêdziszów;jêdrzejowski;œwiêtokrzyskie;6 707;7,9 km?
501;KoŸmin Wielkopolski;krotoszyñski;wielkopolskie;6 698;5,9 km?
502;Pi³awa Górna;dzier¿oniowski;dolnoœl¹skie;6 696;21 km?
503;Rzepin;s³ubicki;lubuskie;6 689;11,4 km?
504;Sianów;koszaliñski;zachodniopomorskie;6 681;15,9 km?
505;Polanica-Zdrój;k³odzki;dolnoœl¹skie;6 663;17 km?
506;G³uszyca;wa³brzyski;dolnoœl¹skie;6 635;16,2 km?
507;Niemodlin;opolski;opolskie;6 623;13,1 km?
508;Gogolin;krapkowicki;opolskie;6 538;20,4 km?
509;¯ukowo;kartuski;pomorskie;6 521;4,7 km?
510;Su³kowice;myœlenicki;ma³opolskie;6 520;16,5 km?
511;Piechowice;jeleniogórski;dolnoœl¹skie;6 494;43 km?
512;¯migród;trzebnicki;dolnoœl¹skie;6 485;9,5 km?
513;Przemków;polkowicki;dolnoœl¹skie;6 484;6,2 km?
514;Mszczonów;¿yrardowski;mazowieckie;6 460;8,6 km?
515;Dobczyce;myœlenicki;ma³opolskie;6 457;13 km?
516;K¹ty Wroc³awskie;wroc³awski;dolnoœl¹skie;6 422;8,6 km?
517;Sulejów;piotrkowski;³ódzkie;6 376;26,3 km?
518;Lubawka;kamiennogórski;dolnoœl¹skie;6 317;22,4 km?
519;Buk;poznañski;wielkopolskie;6 225;3 km?
520;Krzy¿ Wielkopolski;czarnkowsko-trzcianecki;wielkopolskie;6 209;5,8 km?
521;Nowe;œwiecki;kujawsko-pomorskie;6 190;3,6 km?
522;Dynów;rzeszowski;podkarpackie;6 186;25 km?
523;Proszowice;proszowicki;ma³opolskie;6 184;7,3 km?
524;Nowa Sarzyna;le¿ajski;podkarpackie;6 177;9,2 km?
525;Dzia³oszyn;pajêczañski;³ódzkie;6 173;4,9 km?
526;Koniecpol;czêstochowski;œl¹skie;6 165;36,9 km?
527;Przysucha;przysuski;mazowieckie;6 146;7 km?
528;Kietrz;g³ubczycki;opolskie;6 136;18,7 km?
529;G³ogów Ma³opolski;rzeszowski;podkarpackie;6 117;13,7 km?
530;Sieraków;miêdzychodzki;wielkopolskie;6 117;14,1 km?
531;Czarne;cz³uchowski;pomorskie;6 089;46,4 km?
532;Grybów;nowos¹decki;ma³opolskie;6 086;17 km?
533;Siechnice;wroc³awski;dolnoœl¹skie;6 063;15,6 km?
534;Maków Podhalañski;suski;ma³opolskie;6 037;20,1 km?
535;Stronie Œl¹skie;k³odzki;dolnoœl¹skie;6 023;2,4 km?
536;Wieleñ;czarnkowsko-trzcianecki;wielkopolskie;6 021;4,3 km?
537;Lewin Brzeski;brzeski;opolskie;6 007;11,6 km?
538;St¹porków;konecki;œwiêtokrzyskie;5 996;10,9 km?
539;Wo³czyn;kluczborski;opolskie;5 986;7,5 km?
540;Szczawnica;nowotarski;ma³opolskie;5 983;32,9 km?
541;Piwniczna-Zdrój;nowos¹decki;ma³opolskie;5 981;38,3 km?
542;Karlino;bia³ogardzki;zachodniopomorskie;5 974;9,4 km?
543;Wiêcbork;sêpoleñski;kujawsko-pomorskie;5 970;4,3 km?
544;Pieñsk;zgorzelecki;dolnoœl¹skie;5 937;9,9 km?
545;L¹dek-Zdrój;k³odzki;dolnoœl¹skie;5 917;20,3 km?
546;D¹browa Bia³ostocka;sokólski;podlaskie;5 874;22,6 km?
547;Boguchwa³a;rzeszowski;podkarpackie;5 865;9,1 km?
548;Stêszew;poznañski;wielkopolskie;5 834;5,7 km?
549;Radziejów;radziejowski;kujawsko-pomorskie;5 817;6 km?
550;Lipsko;lipski;mazowieckie;5 816;15,7 km?
551;Terespol;bialski;lubelskie;5 815;10 km?
552;Strzelno;mogileñski;kujawsko-pomorskie;5 812;4,5 km?
553;Œcinawa;lubiñski;dolnoœl¹skie;5 798;13,5 km?
554;Orzysz;piski;warmiñsko-mazurskie;5 797;8,2 km?
555;Szczawno-Zdrój;wa³brzyski;dolnoœl¹skie;5 796;15 km?
556;Choroszcz;bia³ostocki;podlaskie;5 782;16,8 km?
557;G³ogówek;prudnicki;opolskie;5 770;22,1 km?
558;Pakoœæ;inowroc³awski;kujawsko-pomorskie;5 756;3,5 km?
559;Szczyrk;bielski;œl¹skie;5 750;39 km?
560;Jedlicze;kroœnieñski;podkarpackie;5 748;10,6 km?
561;Kazimierza Wielka;kazimierski;œwiêtokrzyskie;5 748;5,3 km?
562;Susz;i³awski;warmiñsko-mazurskie;5 717;6,7 km?
563;Sejny;sejneñski;podlaskie;5 650;4 km?
564;Lesko;leski;podkarpackie;5 629;15,3 km?
565;Œmigiel;koœciañski;wielkopolskie;5 603;5,3 km?
566;Dzierzgoñ;sztumski;pomorskie;5 593;3,9 km?
567;Radymno;jaros³awski;podkarpackie;5 501;14 km?
568;KuŸnia Raciborska;raciborski;œl¹skie;5 500;31,5 km?
569;Miêdzyzdroje;kamieñski;zachodniopomorskie;5 485;4,5 km?
570;Siewierz;bêdziñski;œl¹skie;5 481;38,7 km?
571;Szczytna;k³odzki;dolnoœl¹skie;5 363;80,4 km?
572;Bolków;jaworski;dolnoœl¹skie;5 314;7,7 km?
573;Czempiñ;koœciañski;wielkopolskie;5 280;3,3 km?
574;Jordanów;suski;ma³opolskie;5 274;21 km?
575;Szczebrzeszyn;zamojski;lubelskie;5 245;29,1 km?
576;Debrzno;cz³uchowski;pomorskie;5 232;7,5 km?
577;Jaworzyna Œl¹ska;œwidnicki;dolnoœl¹skie;5 226;4,3 km?
578;Wyrzysk;pilski;wielkopolskie;5 191;4,1 km?
579;Bychawa;lubelski;lubelskie;5 178;6,7 km?
580;Nowogród Bobrzañski;zielonogórski;lubuskie;5 161;14,6 km?
581;Odolanów;ostrowski;wielkopolskie;5 116;4,8 km?
582;Zagórz;sanocki;podkarpackie;5 082;22,3 km?
583;Zb¹szynek;œwiebodziñski;lubuskie;5 078;2,9 km?
584;Muszyna;nowos¹decki;ma³opolskie;5 069;24,4 km?
585;Otmuchów;nyski;opolskie;5 068;27,8 km?
586;I³¿a;radomski;mazowieckie;5 054;15,8 km?
587;Brusy;chojnicki;pomorskie;5 037;5,2 km?
588;Bierutów;oleœnicki;dolnoœl¹skie;5 032;8,4 km?
589;Jedlina-Zdrój;wa³brzyski;dolnoœl¹skie;5 000;17 km?
590;Wolin;kamieñski;zachodniopomorskie;4 999;14,5 km?
591;Karpacz;jeleniogórski;dolnoœl¹skie;4 968;39 km?
592;£askarzew;garwoliñski;mazowieckie;4 914;15 km?
593;Borne Sulinowo;szczecinecki;zachodniopomorskie;4 905;18,2 km?
594;Duszniki-Zdrój;k³odzki;dolnoœl¹skie;4 899;22 km?
595;Ciechanowiec;wysokomazowiecki;podlaskie;4 840;19,5 km?
596;Nowe Skalmierzyce;ostrowski;wielkopolskie;4 830;1,6 km?
597;Reszel;kêtrzyñski;warmiñsko-mazurskie;4 817;3,8 km?
598;Pilzno;dêbicki;podkarpackie;4 792;16 km?
599;Kcynia;nakielski;kujawsko-pomorskie;4 738;6,8 km?
600;O¿arów;opatowski;œwiêtokrzyskie;4 730;7,8 km?
601;Brzeœæ Kujawski;w³oc³awski;kujawsko-pomorskie;4 728;7 km?
602;Biecz;gorlicki;ma³opolskie;4 705;17,7 km?
603;Ruciane-Nida;piski;warmiñsko-mazurskie;4 701;17,1 km?
604;Supraœl;bia³ostocki;podlaskie;4 679;5,7 km?
605;Raci¹¿;p³oñski;mazowieckie;4 662;8 km?
606;Leœna;lubañski;dolnoœl¹skie;4 654;8,6 km?
607;Kalwaria Zebrzydowska;wadowicki;ma³opolskie;4 593;5,5 km?
608;Zduny;krotoszyñski;wielkopolskie;4 587;6,2 km?
609;Korsze;kêtrzyñski;warmiñsko-mazurskie;4 586;4 km?
610;Kroœniewice;kutnowski;³ódzkie;4 549;4,2 km?
611;£abiszyn;¿niñski;kujawsko-pomorskie;4 531;2,9 km?
612;Rejowiec Fabryczny;che³mski;lubelskie;4 515;15 km?
613;¯arki;myszkowski;œl¹skie;4 486;25,4 km?
614;Golina;koniñski;wielkopolskie;4 478;3,5 km?
615;Olszyna;lubañski;dolnoœl¹skie;4 474;20,3 km?
616;Jasieñ;¿arski;lubuskie;4 463;4,8 km?
617;WoŸniki;lubliniecki;œl¹skie;4 463;71 km?
618;Krzepice;k³obucki;œl¹skie;4 460;27,7 km?
619;Piotrków Kujawski;radziejowski;kujawsko-pomorskie;4 448;9,8 km?
620;Bytom Odrzañski;nowosolski;lubuskie;4 443;2,3 km?
621;Pilawa;garwoliñski;mazowieckie;4 438;6,6 km?
622;Chêciny;kielecki;œwiêtokrzyskie;4 438;14,1 km?
623;S³omniki;krakowski;ma³opolskie;4 423;3,4 km?
624;Mrocza;nakielski;kujawsko-pomorskie;4 393;5 km?
625;Ogrodzieniec;zawierciañski;œl¹skie;4 379;28,6 km?
626;Kalisz Pomorski;drawski;zachodniopomorskie;4 361;12 km?
627;Resko;³obeski;zachodniopomorskie;4 356;4,5 km?
628;Zawidów;zgorzelecki;dolnoœl¹skie;4 353;6 km?
629;Szamocin;chodzieski;wielkopolskie;4 343;4,7 km?
630;Œwieradów-Zdrój;lubañski;dolnoœl¹skie;4 342;21 km?
631;Nowy Staw;malborski;pomorskie;4 335;4,7 km?
632;Skaryszew;radomski;mazowieckie;4 308;27,5 km?
633;Mieroszów;wa³brzyski;dolnoœl¹skie;4 274;10,3 km?
634;Górowo I³aweckie;bartoszycki;warmiñsko-mazurskie;4 264;3 km?
635;Kowalewo Pomorskie;golubsko-dobrzyñski;kujawsko-pomorskie;4 261;4,5 km?
636;Kleczew;koniñski;wielkopolskie;4 240;6,7 km?
637;Nowogrodziec;boles³awiecki;dolnoœl¹skie;4 230;16,1 km?
638;¯abno;tarnowski;ma³opolskie;4 223;11,1 km?
639;Bobolice;koszaliñski;zachodniopomorskie;4 218;4,8 km?
640;Czerwieñsk;zielonogórski;lubuskie;4 200;9,4 km?
641;Krobia;gostyñski;wielkopolskie;4 187;7,1 km?
642;Szczucin;d¹browski;ma³opolskie;4 173;6,9 km?
643;Skoki;w¹growiecki;wielkopolskie;4 145;11,2 km?
644;G¹bin;p³ocki;mazowieckie;4 142;28 km?
645;Serock;legionowski;mazowieckie;4 130;13,4 km?
646;Tarczyn;piaseczyñski;mazowieckie;4 127;5,2 km?
647;Bia³a Piska;piski;warmiñsko-mazurskie;4 125;3,2 km?
648;P³oty;gryficki;zachodniopomorskie;4 092;4,1 km?
649;Janowiec Wielkopolski;¿niñski;kujawsko-pomorskie;4 088;3 km?
650;Lipiany;pyrzycki;zachodniopomorskie;4 085;5,5 km?
651;¯elechów;garwoliñski;mazowieckie;4 081;12,1 km?
652;Mirsk;lwówecki;dolnoœl¹skie;4 053;14,7 km?
653;Soko³ów Ma³opolski;rzeszowski;podkarpackie;4 040;15,5 km?
654;Babimost;zielonogórski;lubuskie;4 037;3,7 km?
655;Na³êczów;pu³awski;lubelskie;4 033;13,8 km?
656;I³owa;¿agañski;lubuskie;4 013;9,2 km?
657;Drzewica;opoczyñski;³ódzkie;4 008;4,8 km?
658;Okonek;z³otowski;wielkopolskie;3 981;6 km?
659;Ma³ogoszcz;jêdrzejowski;œwiêtokrzyskie;3 929;9,7 km?
660;Chmielnik;kielecki;œwiêtokrzyskie;3 921;7,8 km?
661;Nowe Miasto nad Pilic¹;grójecki;mazowieckie;3 920;11,3 km?
662;S³awa;wschowski;lubuskie;3 913;14,3 km?
663;Oœno Lubuskie;s³ubicki;lubuskie;3 889;8 km?
664;Miko³ajki;mr¹gowski;warmiñsko-mazurskie;3 883;8,9 km?
665;Jastarnia;pucki;pomorskie;3 874;8 km?
666;Podkowa Leœna;grodziski;mazowieckie;3 869;10 km?
667;Brañsk;bielski;podlaskie;3 867;32 km?
668;Wojcieszów;z³otoryjski;dolnoœl¹skie;3 864;32 km?
669;Barwice;szczecinecki;zachodniopomorskie;3 851;7,5 km?
670;Ujœcie;pilski;wielkopolskie;3 828;5,8 km?
671;Jab³onowo Pomorskie;brodnicki;kujawsko-pomorskie;3 824;3,4 km?
672;£eba;lêborski;pomorskie;3 824;15 km?
673;Krajenka;z³otowski;wielkopolskie;3 811;3,8 km?
674;Dobrodzieñ;oleski;opolskie;3 810;19,5 km?
675;Kêpice;s³upski;pomorskie;3 802;6,1 km?
676;Ska³a;krakowski;ma³opolskie;3 762;3 km?
677;Pruchnik;jaros³awski;podkarpackie;3 751;19,9 km?
678;Szczekociny;zawierciañski;œl¹skie;3 745;18 km?
679;Kargowa;zielonogórski;lubuskie;3 743;4,6 km?
680;Byczyna;kluczborski;opolskie;3 714;5,8 km?
681;Rymanów;kroœnieñski;podkarpackie;3 696;12,4 km?
682;Przedbórz;radomszczañski;³ódzkie;3 687;6,1 km?
683;Zator;oœwiêcimski;ma³opolskie;3 683;11,5 km?
684;Sompolno;koniñski;wielkopolskie;3 677;6,2 km?
685;Skêpe;lipnowski;kujawsko-pomorskie;3 669;7,5 km?
686;Hel;pucki;pomorskie;3 668;22 km?
687;Toszek;gliwicki;œl¹skie;3 664;9,7 km?
688;Halinów;miñski;mazowieckie;3 654;2,8 km?
689;Prochowice;legnicki;dolnoœl¹skie;3 649;9,9 km?
690;Strumieñ;cieszyñski;œl¹skie;3 642;6,3 km?
691;Tyczyn;rzeszowski;podkarpackie;3 641;9,7 km?
692;Mi³os³aw;wrzesiñski;wielkopolskie;3 626;4,1 km?
693;Nekla;wrzesiñski;wielkopolskie;3 621;19,8 km?
694;Mieszkowice;gryfiñski;zachodniopomorskie;3 603;4,7 km?
695;Skórcz;starogardzki;pomorskie;3 599;4 km?
696;Ma³omice;¿agañski;lubuskie;3 573;5,4 km?
697;Kowal;w³oc³awski;kujawsko-pomorskie;3 538;5 km?
698;Stryków;zgierski;³ódzkie;3 537;8,2 km?
699;Rakoniewice;grodziski;wielkopolskie;3 523;3,4 km?
700;Szczuczyn;grajewski;podlaskie;3 489;13,2 km?
701;Tarnogród;bi³gorajski;lubelskie;3 464;10,7 km?
702;Rzgów;³ódzki wschodni;³ódzkie;3 431;16,8 km?
703;Alwernia;chrzanowski;ma³opolskie;3 425;8,9 km?
704;Go³añcz;w¹growiecki;wielkopolskie;3 413;12,6 km?
705;Kock;lubartowski;lubelskie;3 412;16,8 km?
706;Wojnicz;tarnowski;ma³opolskie;3 406;8,5 km?
707;Tuliszków;turecki;wielkopolskie;3 405;7 km?
708;£asin;grudzi¹dzki;kujawsko-pomorskie;3 377;4,8 km?
709;Z³oczew;sieradzki;³ódzkie;3 377;13,8 km?
710;Kolonowskie;strzelecki;opolskie;3 361;55,7 km?
711;Zwierzyniec;zamojski;lubelskie;3 347;6,2 km?
712;Jeziorany;olsztyñski;warmiñsko-mazurskie;3 346;3,4 km?
713;Warta;sieradzki;³ódzkie;3 337;10,9 km?
714;Maszewo;goleniowski;zachodniopomorskie;3 337;5,5 km?
715;Gozdnica;¿agañski;lubuskie;3 272;24 km?
716;Miejska Górka;rawicki;wielkopolskie;3 246;3,1 km?
717;Bia³a Rawska;rawski;³ódzkie;3 244;9,5 km?
718;Zakroczym;nowodworski;mazowieckie;3 241;20 km?
719;Kañczuga;przeworski;podkarpackie;3 236;7,6 km?
720;Kobylin;krotoszyñski;wielkopolskie;3 236;4,9 km?
721;Pyzdry;wrzesiñski;wielkopolskie;3 234;12,2 km?
722;Chociwel;stargardzki;zachodniopomorskie;3 206;3,7 km?
723;Micha³owo;bia³ostocki;podlaskie;3 177;2,2 km?
724;Myszyniec;ostro³êcki;mazowieckie;3 170;10,7 km?
725;Dobiegniew;strzelecko-drezdenecki;lubuskie;3 169;5,7 km?
726;Lubraniec;w³oc³awski;kujawsko-pomorskie;3 160;2 km?
727;Æmielów;ostrowiecki;œwiêtokrzyskie;3 157;13,3 km?
728;Œlesin;koniñski;wielkopolskie;3 154;7,2 km?
729;Glinojeck;ciechanowski;mazowieckie;3 150;7,4 km?
730;Niemcza;dzier¿oniowski;dolnoœl¹skie;3 121;19,8 km?
731;Krasnobród;zamojski;lubelskie;3 117;7 km?
732;Kunów;ostrowiecki;œwiêtokrzyskie;3 098;7,3 km?
733;Radomyœl Wielki;mielecki;podkarpackie;3 080;8,8 km?
734;Uniejów;poddêbicki;³ódzkie;3 079;12,2 km?
735;Zagórów;s³upecki;wielkopolskie;3 065;3,4 km?
736;Lwówek;nowotomyski;wielkopolskie;3 058;3,2 km?
737;Oleszyce;lubaczowski;podkarpackie;3 053;5,1 km?
738;£ob¿enica;pilski;wielkopolskie;3 038;3,3 km?
739;Miros³awiec;wa³ecki;zachodniopomorskie;3 037;2,1 km?
740;Margonin;chodzieski;wielkopolskie;3 034;5,2 km?
741;Wêgliniec;zgorzelecki;dolnoœl¹skie;3 030;8,7 km?
742;Polanów;koszaliñski;zachodniopomorskie;3 028;7,4 km?
743;Wilamowice;bielski;œl¹skie;3 015;10,4 km?
744;Bobowa;gorlicki;ma³opolskie;3 005;7,2 km?
745;Baborów;g³ubczycki;opolskie;3 005;11,9 km?
746;Drobin;p³ocki;mazowieckie;2 992;9,7 km?
747;Recz;choszczeñski;zachodniopomorskie;2 977;12,4 km?
748;Bojanowo;rawicki;wielkopolskie;2 970;2,3 km?
749;Pieniê¿no;braniewski;warmiñsko-mazurskie;2 949;3,8 km?
750;Chorzele;przasnyski;mazowieckie;2 939;17,5 km?
751;Z³oty Stok;z¹bkowicki;dolnoœl¹skie;2 935;7,7 km?
752;Ka³uszyn;miñski;mazowieckie;2 934;12,3 km?
753;Ryn;gi¿ycki;warmiñsko-mazurskie;2 925;4,1 km?
754;Daleszyce;kielecki;œwiêtokrzyskie;2 911;15,5 km?
755;Poniec;gostyñski;wielkopolskie;2 910;3,5 km?
756;Wêgorzyno;³obeski;zachodniopomorskie;2 909;6,9 km?
757;Sulmierzyce;krotoszyñski;wielkopolskie;2 905;29 km?
758;Kamieñsk;radomszczañski;³ódzkie;2 890;12 km?
759;Nowe Miasteczko;nowosolski;lubuskie;2 884;3,3 km?
760;Ryglice;tarnowski;ma³opolskie;2 880;25,2 km?
761;W¹chock;starachowicki;œwiêtokrzyskie;2 865;16 km?
762;Knyszyn;moniecki;podlaskie;2 850;23,7 km?
763;Cybinka;s³ubicki;lubuskie;2 809;5,3 km?
764;W¹sosz;górowski;dolnoœl¹skie;2 807;3,2 km?
765;Tolkmicko;elbl¹ski;warmiñsko-mazurskie;2 807;2,3 km?
766;Ksi¹¿ Wielkopolski;œremski;wielkopolskie;2 780;2 km?
767;Rad³ów;tarnowski;ma³opolskie;2 773;16,8 km?
768;Golczewo;kamieñski;zachodniopomorskie;2 763;7,4 km?
769;Izbica Kujawska;w³oc³awski;kujawsko-pomorskie;2 762;2,2 km?
770;Rydzyna;leszczyñski;wielkopolskie;2 762;2,2 km?
771;Wysoka;pilski;wielkopolskie;2 758;4,8 km?
772;Nowy Wiœnicz;bocheñski;ma³opolskie;2 757;5 km?
773;Bardo;z¹bkowicki;dolnoœl¹skie;2 741;4,7 km?
774;Dziwnów;kamieñski;zachodniopomorskie;2 736;5 km?
775;Ró¿an;makowski;mazowieckie;2 730;6,7 km?
776;Miêdzylesie;k³odzki;dolnoœl¹skie;2 723;14,4 km?
777;Brzostek;dêbicki;podkarpackie;2 718;8,8 km?
778;Leœnica;strzelecki;opolskie;2 717;14,5 km?
779;Wyszogród;p³ocki;mazowieckie;2 709;13 km?
780;Stoczek £ukowski;³ukowski;lubelskie;2 700;9 km?
781;Prószków;opolski;opolskie;2 680;16,2 km?
782;Piaski;œwidnicki;lubelskie;2 672;8,4 km?
783;K³ecko;gnieŸnieñski;wielkopolskie;2 669;9,6 km?
784;Annopol;kraœnicki;lubelskie;2 664;7,7 km?
785;Mi³akowo;ostródzki;warmiñsko-mazurskie;2 653;8,8 km?
786;Pe³czyce;choszczeñski;zachodniopomorskie;2 653;13,1 km?
787;Czerniejewo;gnieŸnieñski;wielkopolskie;2 642;10,2 km?
788;Czy¿ew;wysokomazowiecki;podlaskie;2 636;5,2 km?
789;Kazimierz Dolny;pu³awski;lubelskie;2 607;30,4 km?
790;£êknica;¿arski;lubuskie;2 602;16 km?
791;Torzym;sulêciñski;lubuskie;2 597;9,1 km?
792;Koprzywnica;sandomierski;œwiêtokrzyskie;2 575;17,9 km?
793;Pasym;szczycieñski;warmiñsko-mazurskie;2 536;15,2 km?
794;Borek Wielkopolski;gostyñski;wielkopolskie;2 533;6,3 km?
795;Tychowo;bia³ogardzki;zachodniopomorskie;2 533;4 km?
796;Gorzów Œl¹ski;oleski;opolskie;2 532;18,5 km?
797;Józefów;bi³gorajski;lubelskie;2 520;23,9 km?
798;Bia³a;prudnicki;opolskie;2 511;14,7 km?
799;Krynki;sokólski;podlaskie;2 511;3,8 km?
800;Trzciel;miêdzyrzecki;lubuskie;2 496;3 km?
801;Zab³udów;bia³ostocki;podlaskie;2 495;14,3 km?
802;Bisztynek;bartoszycki;warmiñsko-mazurskie;2 492;2,2 km?
803;Radków;k³odzki;dolnoœl¹skie;2 485;15 km?
804;Ciê¿kowice;tarnowski;ma³opolskie;2 483;10 km?
805;Frombork;braniewski;warmiñsko-mazurskie;2 475;7,6 km?
