0;Miasto;Powiat;Województwo;Populacja;Obszar
94;Skar¿ysko-Kamienna;skar¿yski;œwiêtokrzyskie;47 538;64 km?
95;Rumia;wejherowski;pomorskie;47 374;30 km?
96;Krosno;Krosno;podkarpackie;47 223;44 km?
97;Ko³obrzeg;ko³obrzeski;zachodniopomorskie;46 897;26 km?
98;Dêbica;dêbicki;podkarpackie;46 854;34 km?
99;Kutno;kutnowski;³ódzkie;45 657;34 km?
100;Otwock;otwocki;mazowieckie;45 044;47 km?
101;Nysa;nyski;opolskie;44 899;27,5 km?
102;Piaseczno;piaseczyñski;mazowieckie;44 869;16,2 km?
103;Ciechanów;ciechanowski;mazowieckie;44 797;33 km?
104;Zduñska Wola;zduñskowolski;³ódzkie;43 615;25 km?
105;Sieradz;sieradzki;³ódzkie;43 356;51 km?
106;Œwinoujœcie;Œwinoujœcie;zachodniopomorskie;41 371;197 km?
107;¯yrardów;¿yrardowski;mazowieckie;41 096;14 km?
108;Szczecinek;szczecinecki;zachodniopomorskie;40 620;48 km?
109;Chojnice;chojnicki;pomorskie;40 226;21 km?
110;Œwidnik;œwidnicki;lubelskie;40 225;20 km?
111;Miñsk Mazowiecki;miñski;mazowieckie;39 880;13 km?
112;Miko³ów;miko³owski;œl¹skie;39 776;79 km?
113;Nowa Sól;nowosolski;lubuskie;39 721;22 km?
114;Oœwiêcim;oœwiêcimski;ma³opolskie;39 664;30 km?
115;Boles³awiec;boles³awiecki;dolnoœl¹skie;39 603;24 km?
116;Jaros³aw;jaros³awski;podkarpackie;39 138;35 km?
117;Knurów;gliwicki;œl¹skie;39 090;34 km?
118;Sanok;sanocki;podkarpackie;39 027;38 km?
119;Malbork;malborski;pomorskie;39 022;17 km?
120;Kwidzyn;kwidzyñski;pomorskie;38 867;22 km?
121;¯ary;¿arski;lubuskie;38 856;33 km?
122;Chrzanów;chrzanowski;ma³opolskie;38 117;38,3 km?
123;Sopot;Sopot;pomorskie;37 903;17 km?
124;Wo³omin;wo³omiñski;mazowieckie;37 505;17,2 km?
125;Sochaczew;sochaczewski;mazowieckie;37 480;26 km?
126;Oleœnica;oleœnicki;dolnoœl¹skie;37 303;21 km?
127;Brzeg;brzeski;opolskie;36 980;15 km?
128;Olkusz;olkuski;ma³opolskie;36 724;25,7 km?
129;Jas³o;jasielski;podkarpackie;36 363;37 km?
130;Cieszyn;cieszyñski;œl¹skie;35 918;29 km?
131;Kraœnik;kraœnicki;lubelskie;35 788;26 km?
132;Czechowice-Dziedzice;bielski;œl¹skie;35 684;32,9 km?
133;Lêbork;lêborski;pomorskie;35 526;18 km?
134;Dzier¿oniów;dzier¿oniowski;dolnoœl¹skie;34 428;20 km?
135;Ostróda;ostródzki;warmiñsko-mazurskie;33 963;14 km?
136;Nowy Targ;nowotarski;ma³opolskie;33 672;51 km?
